date,bitcoins
2014-06-24,14
2014-06-25,11
2014-06-26,12
2014-06-27,23
2014-06-28,30
2014-06-29,16
2014-06-30,15
2014-07-01,14
2014-07-02,25
2014-07-03,21
2014-07-04,13
2014-07-05,17
2014-07-06,13
2014-07-07,16
2014-07-08,10
2014-07-09,15
2014-07-10,15
2014-07-11,20
2014-07-12,17
2014-07-13,15
2014-07-14,12
2014-07-15,26
2014-07-16,19
2014-07-17,21
2014-07-18,12
2014-07-19,17
2014-07-20,19
2014-07-21,19
2014-07-22,21
2014-07-23,16
2014-07-24,13
2014-07-25,21
2014-07-26,14
2014-07-27,21
2014-07-28,17
2014-07-29,19
2014-07-30,22
2014-07-31,22
2014-08-01,17
2014-08-02,16
2014-08-03,19
2014-08-04,18
2014-08-05,15
2014-08-06,16
2014-08-07,18
2014-08-08,20
2014-08-09,17
2014-08-10,16
2014-08-11,22
2014-08-12,16
2014-08-13,30
2014-08-14,27
2014-08-15,23
2014-08-16,15
2014-08-17,19
2014-08-18,14
2014-08-19,19
2014-08-20,20
2014-08-21,19
2014-08-22,22
2014-08-23,17
2014-08-24,18
2014-08-25,14
2014-08-26,16
2014-08-27,18
2014-08-28,15
2014-08-29,16
2014-08-30,12
2014-08-31,16
2014-09-01,19
2014-09-02,90
2014-09-03,82
2014-09-04,52
2014-09-05,84
2014-09-06,85
2014-09-07,81
2014-09-08,44
2014-09-09,60
2014-09-10,71
2014-09-11,52
2014-09-12,49
2014-09-13,57
2014-09-14,69
2014-09-15,44
2014-09-16,51
2014-09-17,49
2014-09-18,54
2014-09-19,68
2014-09-20,45
2014-09-21,65
2014-09-22,61
2014-09-23,60
2014-09-24,49
2014-09-25,52
2014-09-26,61
2014-09-27,53
2014-09-28,82
2014-09-29,55
2014-09-30,65
2014-10-01,58
2014-10-02,54
2014-10-03,60
2014-10-04,56
2014-10-05,66
2014-10-06,76
2014-10-07,66
2014-10-08,83
2014-10-09,98
2014-10-10,58
2014-10-11,41
2014-10-12,72
2014-10-13,67
2014-10-14,61
2014-10-15,64
2014-10-16,92
2014-10-17,50
2014-10-18,63
2014-10-19,47
2014-10-20,70
2014-10-21,77
2014-10-22,61
2014-10-23,42
2014-10-24,50
2014-10-25,61
2014-10-26,45
2014-10-27,36
2014-10-28,49
2014-10-29,60
2014-10-30,78
2014-10-31,58
2014-11-01,55
2014-11-02,29
2014-11-03,61
2014-11-04,60
2014-11-05,65
2014-11-06,65
2014-11-07,54
2014-11-08,48
2014-11-09,71
2014-11-10,47
2014-11-11,73
2014-11-12,65
2014-11-13,71
2014-11-14,51
2014-11-15,39
2014-11-16,60
2014-11-17,64
2014-11-18,63
2014-11-19,65
2014-11-20,74
2014-11-21,70
2014-11-22,42
2014-11-23,71
2014-11-24,44
2014-11-25,48
2014-11-26,45
2014-11-27,77
2014-11-28,38
2014-11-29,34
2014-11-30,39
2014-12-01,48
2014-12-02,50
2014-12-03,52
2014-12-04,52
2014-12-05,42
2014-12-06,32
2014-12-07,21
2014-12-08,49
2014-12-09,54
2014-12-10,42
2014-12-11,75
2014-12-12,61
2014-12-13,46
2014-12-14,74
2014-12-15,44
2014-12-16,67
2014-12-17,57
2014-12-18,45
2014-12-19,49
2014-12-20,49
2014-12-21,52
2014-12-22,57
2014-12-23,52
2014-12-24,55
2014-12-25,27
2014-12-26,39
2014-12-27,73
2014-12-28,67
2014-12-29,52
2014-12-30,36
2014-12-31,53
2015-01-01,45
2015-01-02,45
2015-01-03,67
2015-01-04,48
2015-01-05,55
2015-01-06,86
2015-01-07,80
2015-01-08,61
2015-01-09,78
2015-01-10,58
2015-01-11,72
2015-01-12,56
2015-01-13,55
2015-01-14,65
2015-01-15,82
2015-01-16,97
2015-01-17,74
2015-01-18,37
2015-01-19,66
2015-01-20,46
2015-01-21,48
2015-01-22,49
2015-01-23,51
2015-01-24,50
2015-01-25,62
2015-01-26,49
2015-01-27,82
2015-01-28,50
2015-01-29,55
2015-01-30,46
2015-01-31,37
2015-02-01,46
2015-02-02,42
2015-02-03,44
2015-02-04,60
2015-02-05,72
2015-02-06,55
2015-02-07,53
2015-02-08,88
2015-02-09,50
2015-02-10,80
2015-02-11,78
2015-02-12,64
2015-02-13,57
2015-02-14,63
2015-02-15,45
2015-02-16,59
2015-02-17,57
2015-02-18,41
2015-02-19,87
2015-02-20,83
2015-02-21,62
2015-02-22,49
2015-02-23,52
2015-02-24,64
2015-02-25,49
2015-02-26,51
2015-02-27,45
2015-02-28,47
2015-03-01,48
2015-03-02,79
2015-03-03,82
2015-03-04,50
2015-03-05,53
2015-03-06,77
2015-03-07,100
2015-03-08,65
2015-03-09,58
2015-03-10,39
2015-03-11,46
2015-03-12,45
2015-03-13,75
2015-03-14,71
2015-03-15,65
2015-03-16,67
2015-03-17,53
2015-03-18,56
2015-03-19,93
2015-03-20,50
2015-03-21,54
2015-03-22,59
2015-03-23,56
2015-03-24,54
2015-03-25,62
2015-03-26,63
2015-03-27,51
2015-03-28,29
2015-03-29,48
2015-03-30,44
2015-03-31,55
2015-04-01,41
2015-04-02,40
2015-04-03,43
2015-04-04,39
2015-04-05,52
2015-04-06,40
2015-04-07,64
2015-04-08,59
2015-04-09,57
2015-04-10,40
2015-04-11,33
2015-04-12,50
2015-04-13,40
2015-04-14,54
2015-04-15,63
2015-04-16,61
2015-04-17,44
2015-04-18,43
2015-04-19,40
2015-04-20,43
2015-04-21,59
2015-04-22,73
2015-04-23,46
2015-04-24,50
2015-04-25,49
2015-04-26,62
2015-04-27,33
2015-04-28,54
2015-04-29,48
2015-04-30,52
2015-05-01,42
2016-01-02,52
2016-01-03,44
2016-01-04,39
2016-01-05,43
2016-01-06,54
2016-01-07,50
2016-01-08,36
2016-01-09,32
2016-01-10,54
2016-01-11,50
2016-01-12,36
2016-01-13,34
2016-01-14,39
2016-01-15,39
2016-01-16,44
2016-01-17,27
2016-01-18,31
2016-01-19,56
2016-01-20,50
2016-01-21,48
2016-01-22,36
2016-01-23,46
2016-01-24,51
2016-01-25,41
2016-01-26,46
2016-01-27,38
2016-01-28,45
2016-01-29,32
2016-01-30,35
2016-01-31,44
2016-02-01,45
2016-02-02,37
2016-02-03,30
2016-02-04,43
2016-02-05,33
2016-02-06,44
2016-02-07,35
2016-02-08,35
2016-02-09,31
2016-02-10,44
2016-02-11,27
2016-02-12,51
2016-02-13,49
2016-02-14,47
2016-02-15,61
2016-02-16,49
2016-02-17,44
2016-02-18,64
2016-02-19,40
2016-02-20,32
2016-02-21,53
2016-02-22,33
2016-02-23,33
2016-02-24,53
2016-02-25,44
2016-02-26,43
2016-02-27,52
2016-02-28,48
2016-02-29,45
2016-03-01,43
2016-03-02,44
2016-03-03,32
2016-03-04,35
2016-03-05,33
2016-03-06,43
2016-03-07,47
2016-03-08,37
2016-03-09,33
2016-03-10,29
2016-03-11,43
2016-03-12,45
2016-03-13,55
2016-03-14,24
2016-03-15,39
2016-03-16,44
2016-03-17,52
2016-03-18,47
2016-03-19,28
2016-03-20,37
2016-03-21,32
2016-03-22,41
2016-03-23,42
2016-03-24,37
2016-03-25,44
2016-03-26,45
2016-03-27,37
2016-03-28,56
2016-03-29,53
2016-03-30,34
2016-03-31,35
2016-04-01,26
2016-04-02,39
2016-04-03,53
2016-04-04,37
2016-04-05,36
2016-04-06,44
2016-04-07,39
2016-04-08,21
2016-04-09,29
2016-04-10,33
2016-04-11,47
2016-04-12,48
2016-04-13,49
2016-04-14,37
2016-04-15,41
2016-04-16,38
2016-04-17,33
2016-04-18,25
2016-04-19,53
2016-04-20,35
2016-04-21,36
2016-04-22,63
2016-04-23,31
2016-04-24,48
2016-04-25,53
2016-04-26,45
2016-04-27,44
2016-04-28,59
2016-04-29,52
2016-04-30,51
2016-05-01,42
2016-05-02,100
2016-05-03,77
2016-05-04,56
2016-05-05,56
2016-05-06,51
2016-05-07,35
2016-05-08,59
2016-05-09,39
2016-05-10,58
2016-05-11,38
2016-05-12,51
2016-05-13,44
2016-05-14,44
2016-05-15,34
2016-05-16,40
2016-05-17,32
2016-05-18,36
2016-05-19,53
2016-05-20,41
2016-05-21,35
2016-05-22,33
2016-05-23,51
2016-05-24,38
2016-05-25,27
2016-05-26,46
2016-05-27,41
2016-05-28,54
2016-05-29,41
2016-05-30,66
2016-05-31,58
2016-06-01,36
2016-06-02,35
2016-06-03,54
2016-06-04,53
2016-06-05,41
2016-06-06,42
2016-06-07,53
2016-06-08,44
2016-06-09,43
2016-06-10,39
2016-06-11,55
2016-06-12,45
2016-06-13,63
2016-06-14,43
2016-06-15,40
2016-06-16,53
2016-06-17,36
2016-06-18,51
2016-06-19,57
2016-06-20,56
2016-06-21,56
2016-06-22,43
2016-06-23,38
2016-06-24,58
2016-06-25,29
2016-06-26,33
2016-06-27,46
2016-06-28,53
2016-06-29,47
2016-06-30,37
2016-07-01,41
2016-07-02,54
2016-07-03,45
2016-07-04,40
2016-07-05,38
2016-07-06,43
2016-07-07,53
2016-07-08,40
2016-07-09,30
2016-07-10,62
2016-07-11,49
2016-07-12,45
2016-07-13,39
2016-07-14,44
2016-07-15,31
2016-07-16,31
2016-07-17,22
2016-07-18,30
2016-07-19,38
2016-07-20,31
2016-07-21,47
2016-07-22,21
2016-07-23,35
2016-07-24,35
2016-07-25,48
2016-07-26,33
2016-07-27,34
2016-07-28,50
2016-07-29,27
2016-07-30,20
2016-07-31,36
2016-08-01,39
2016-08-02,31
2016-08-03,69
2016-08-04,37
2016-08-05,26
2016-08-06,40
2016-08-07,46
2016-08-08,44
2016-08-09,40
2016-08-10,41
2016-08-11,33
2016-08-12,34
2016-08-13,46
2016-08-14,54
2016-08-15,34
2016-08-16,37
2016-08-17,30
2016-08-18,32
2016-08-19,43
2016-08-20,33
2016-08-21,33
2016-08-22,31
2016-08-23,38
2016-08-24,30
2016-08-25,43
2016-08-26,49
2016-08-27,31
2016-08-28,32
2016-08-29,34
2016-08-30,41
2016-08-31,42
2016-09-01,25
2016-09-02,36
2016-09-03,33
2016-09-04,46
2016-09-05,45
2016-09-06,40
2016-09-07,36
2016-09-08,40
2016-09-09,34
2016-09-10,32
2016-09-11,27
2016-09-12,39
2016-09-13,56
2016-09-14,34
2016-09-15,37
2016-09-16,32
2016-09-17,41
2016-09-18,41
2016-09-19,42
2016-09-20,45
2016-09-21,28
2016-09-22,45
2016-09-23,39
2016-09-24,38
2016-09-25,41
2016-09-26,29
2016-09-27,29
2016-09-28,36
2016-09-29,31
2016-09-30,45
2016-10-01,33
2016-10-02,36
2016-10-03,39
2016-10-04,36
2016-10-05,50
2016-10-06,33
2016-10-07,35
2016-10-08,57
2016-10-09,40
2016-10-10,32
2016-10-11,44
2016-10-12,41
2016-10-13,36
2016-10-14,30
2016-10-15,32
2016-10-16,46
2016-10-17,56
2016-10-18,34
2016-10-19,47
2016-10-20,35
2016-10-21,38
2016-10-22,41
2016-10-23,40
2016-10-24,39
2016-10-25,44
2016-10-26,39
2016-10-27,43
2016-10-28,36
2016-10-29,28
2016-10-30,30
2016-10-31,47
2016-11-01,53
2016-11-02,53
2016-11-03,36
2016-11-04,39
2016-11-05,33
2016-11-06,43
2016-11-07,39
2016-11-08,39
2016-11-09,45
2016-11-10,39
2016-11-11,48
2016-11-12,29
2016-11-13,43
2016-11-14,43
2016-11-15,49
2016-11-16,52
2016-11-17,54
2016-11-18,45
2016-11-19,42
2016-11-20,45
2016-11-21,54
2016-11-22,54
2016-11-23,56
2016-11-24,48
2016-11-25,33
2016-11-26,44
2016-11-27,39
2016-11-28,45
2016-11-29,55
2016-11-30,39
