Date,bitcoins
2/14/2016,47
2/15/2016,61
2/16/2016,49
2/17/2016,44
2/18/2016,64
2/19/2016,40
2/20/2016,32
2/21/2016,53
2/22/2016,33
2/23/2016,33
2/24/2016,53
2/25/2016,44
2/26/2016,43
2/27/2016,52
2/28/2016,48
2/29/2016,45
3/1/2016,43
3/2/2016,44
3/3/2016,32
3/4/2016,35
3/5/2016,33
3/6/2016,43
3/7/2016,47
3/8/2016,37
3/9/2016,33
3/10/2016,29
3/11/2016,43
3/12/2016,45
3/13/2016,55
3/14/2016,24
3/15/2016,39
3/16/2016,44
3/17/2016,52
3/18/2016,47
3/19/2016,28
3/20/2016,37
3/21/2016,32
3/22/2016,41
3/23/2016,42
3/24/2016,37
3/25/2016,44
3/26/2016,45
3/27/2016,37
3/28/2016,56
3/29/2016,53
3/30/2016,34
3/31/2016,35
4/1/2016,26
4/2/2016,39
4/3/2016,53
4/4/2016,37
4/5/2016,36
4/6/2016,44
4/7/2016,39
4/8/2016,21
4/9/2016,29
4/10/2016,33
4/11/2016,47
4/12/2016,48
4/13/2016,49
4/14/2016,37
4/15/2016,41
4/16/2016,38
4/17/2016,33
4/18/2016,25
4/19/2016,53
4/20/2016,35
4/21/2016,36
4/22/2016,63
4/23/2016,31
4/24/2016,48
4/25/2016,53
4/26/2016,45
4/27/2016,44
4/28/2016,59
4/29/2016,52
4/30/2016,51
5/1/2016,42
5/2/2016,100
5/3/2016,77
5/4/2016,56
5/5/2016,56
5/6/2016,51
5/7/2016,35
5/8/2016,59
5/9/2016,39
5/10/2016,58
5/11/2016,38
5/12/2016,51
5/13/2016,44
5/14/2016,44
5/15/2016,34
5/16/2016,40
5/17/2016,32
5/18/2016,36
5/19/2016,53
5/20/2016,41
5/21/2016,35
5/22/2016,33
5/23/2016,51
5/24/2016,38
5/25/2016,27
5/26/2016,46
5/27/2016,41
5/28/2016,54
5/29/2016,41
5/30/2016,66
5/31/2016,58
6/1/2016,36
6/2/2016,35
6/3/2016,54
6/4/2016,53
6/5/2016,41
6/6/2016,42
6/7/2016,53
6/8/2016,44
6/9/2016,43
6/10/2016,39
6/11/2016,55
6/12/2016,45
6/13/2016,63
6/14/2016,43
6/15/2016,40
6/16/2016,53
6/17/2016,36
6/18/2016,51
6/19/2016,57
6/20/2016,56
6/21/2016,56
6/22/2016,43
6/23/2016,38
6/24/2016,58
6/25/2016,29
6/26/2016,33
6/27/2016,46
6/28/2016,53
6/29/2016,47
6/30/2016,37
7/1/2016,41
7/2/2016,54
7/3/2016,45
7/4/2016,40
7/5/2016,38
7/6/2016,43
7/7/2016,53
7/8/2016,40
7/9/2016,30
7/10/2016,62
7/11/2016,49
7/12/2016,45
7/13/2016,39
7/14/2016,44
7/15/2016,31
7/16/2016,31
7/17/2016,22
7/18/2016,30
7/19/2016,38
7/20/2016,31
7/21/2016,47
7/22/2016,21
7/23/2016,35
7/24/2016,35
7/25/2016,48
7/26/2016,33
7/27/2016,34
7/28/2016,50
7/29/2016,27
7/30/2016,20
7/31/2016,36
8/1/2016,39
8/2/2016,31
8/3/2016,69
8/4/2016,37
8/5/2016,26
8/6/2016,40
8/7/2016,46
8/8/2016,44
8/9/2016,40
8/10/2016,41
8/11/2016,33
8/12/2016,34
8/13/2016,46
8/14/2016,54
8/15/2016,34
8/16/2016,37
8/17/2016,30
8/18/2016,32
8/19/2016,43
8/20/2016,33
8/21/2016,33
8/22/2016,31
8/23/2016,38
8/24/2016,30
8/25/2016,43
8/26/2016,49
8/27/2016,31
8/28/2016,32
8/29/2016,34
8/30/2016,41
8/31/2016,42
9/1/2016,25
9/2/2016,36
9/3/2016,33
9/4/2016,46
9/5/2016,45
9/6/2016,40
9/7/2016,36
9/8/2016,40
9/9/2016,34
9/10/2016,32
9/11/2016,27
9/12/2016,39
9/13/2016,56
9/14/2016,34
9/15/2016,37
9/16/2016,32
9/17/2016,41
9/18/2016,41
9/19/2016,42
9/20/2016,45
9/21/2016,28
9/22/2016,45
9/23/2016,39
9/24/2016,38
9/25/2016,41
9/26/2016,29
9/27/2016,29
9/28/2016,36
9/29/2016,31
9/30/2016,45
10/1/2016,33
10/2/2016,36
10/3/2016,39
10/4/2016,36
10/5/2016,50
10/6/2016,33
10/7/2016,35
10/8/2016,57
10/9/2016,40
10/10/2016,32
10/11/2016,44
10/12/2016,41
10/13/2016,36
10/14/2016,30
10/15/2016,32
10/16/2016,46
10/17/2016,56
10/18/2016,34
10/19/2016,47
10/20/2016,35
10/21/2016,38
10/22/2016,41
10/23/2016,40
10/24/2016,39
10/25/2016,44
10/26/2016,39
10/27/2016,43
10/28/2016,36
10/29/2016,28
10/30/2016,30
10/31/2016,47
11/1/2016,53
11/2/2016,53
11/3/2016,36
11/4/2016,39
11/5/2016,33
11/6/2016,43
11/7/2016,39
11/8/2016,39
11/9/2016,45
11/10/2016,39
11/11/2016,48
11/12/2016,29
11/13/2016,43
11/14/2016,43
11/15/2016,49
11/16/2016,52
11/17/2016,54
11/18/2016,45
11/19/2016,42
11/20/2016,45
11/21/2016,54
11/22/2016,54
11/23/2016,56
11/24/2016,48
11/25/2016,33
11/26/2016,44
11/27/2016,39
11/28/2016,45
11/29/2016,55
